full_text,sentiment_label,sentiment_score
tangerang direktur jenderal bea cukai kementerian keuangan kemenkeu askolani mengumumkan kenaikan harga jual eceran hje rokok,positive,7.0
pemerintah mengenakan kenaikan tarif pajak pertambahan nilai ppn persen januari besaran tarif ppn persen salah terbesar negaranegara asean infopku infopkugrafis ppnpersen,positive,2.0
cinta tulus hny uang yg mengalir kantongmu peduli dng kenaikan pajak bbm tdl listrik phk buruh rupiah jeblok inflasi meningkat teruslah narasi utk pembodohan rakyat yg iq,negative,-3.0
polemik kenaikan pajak krisis ekonomi krisis ekonomi kenaikan pajak tantangan pajak salah sumber utama pembangunan kesejahteraan,negative,-18.0
apapun penjelan kenaikan pajak ppn tidak menyelesaikan rakyat keci kenaikan harga barang menular covid,negative,-9.0
pemerintah jahat bgt memelihara kemiskinan gini jd seudzon sm ppn gue demo gabakal dibatalin kenaikan ppn nya even gerakan tolak bayar pajak tp susah ngindarin lini yg terdampak kenaikan ppn maju kena mundur kena,negative,-21.0
makannya gratis bayarnya thn kenaikan pajak dll,positive,1.0
kenaikan pajak fake smile,negative,-3.0
kl pilihan nya menang jgn sombong loe merasakan kenaikan pajak pph persen merasakan dampak harga sembako trus loe bayar utang china utang siang gratis,negative,-6.0
pemerintah memutuskan menaikkan tarif ppn kebijakan menuai pro kontra dampak kenaikan pajak kebebasan yuk ikuti diskusi tolakppn libertarian libertarianindonesia,positive,1.0
kenaikan pajak kah pa,negative,-8.0
hayoo tebak dapet rb yg panas kenaikan pajak euy,positive,1.0
ganyang judi ampun ganyang oligarki tambang turunkan anggaran kepolisian taruh kepolisian dibawah tni stop kenaikan penambahan pajak tambang kemakmuran rakyat,negative,-8.0
syaratnya kalo kebijakan pemerintah kenaikan pajak kenaikan bbm dilarang protes ya,negative,-2.0
makany nggak ya kenaikan pajak kena merekamereka anggap remeh perihal aja,negative,-4.0
debat kusir perihal kenaikan pajak bunda literally anak akuntan is wild beneran ribut,negative,-2.0
hubungan kereta cepat dgn kesejahteraan rakyat dgn kereta cepat rakyat sejahtera jawabannya kereta cepat tidak rakyat sejahtera yg rakyat sengsara krn kenaikan pajak bayar utang kereta cepat,negative,-35.0
kenaikan tarif pajak pertambahan nilai ppn persen persen januari berdampak signifikan gen,positive,6.0
terima kasih tp tlg dikaji planning kenaikan pajak yg dlm perhitungan dr pajak umr defisit,negative,-3.0
kenaikan pajak brp bang kah,negative,-3.0
negri berfihak oligarki amp orang orang super kaya tax amnesti keringanan pembebasan pajak rakyat hantam kenaikan ppn persen super kaya kaya menengah,negative,-2.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan pemerintah berencana memundurkan kenaikan tarif pajak pertambahan nilai ppn persen diterapkan januari,positive,1.0
batalkan kenaikan pajak ditunda,negative,-3.0
sayang bnyk partai hnya dikendalikan amp bertumpu sosok pride harga partai bnyk ga goal ttp kenaikan pajak gemuknya kabinet dll sepak terjang yg ga efisien rkyt teriak pem mikir jd bkn partai yg teriak yg hrsnya idealis,negative,-10.0
kenaikan ppn berdampak harga barang gak sesederhana alias aja bikin beban memengaruhi daya beli masyarakat kenaikan pajak berdampak domino harga barang,negative,-2.0
mah tuh gak sesederhana doang rumus perhitungan kenaikan presentase kawankawan liat gambar gitu yak ya namanya matematika ngitung pajak tidak sesederhana,negative,-4.0
kenaikan ppn sih keliatannya aslinya tuh pajak bingung iso sih naek yok bahas pake bahasa bayi tolakppnpersen,negative,-8.0
minimal menyamai kenaikan pajak nanggung,negative,-6.0
umr kabupaten gak sampe jt kalo kerja sungguh rajin jujur gaji segitu emang teteup dikit woi meanwhile kebutuhan hidup meroket kenaikan pajak pajakmencekik tolakppnpersen tolakkenaikanppn,positive,1.0
namanya minus alias nombok dgn kenaikan pajak,negative,-6.0
menteri sekretaris negara mensesneg prasetyo hadi angkat bicara kabar kenaikan pajak pertambahan nilai ppn persen menyebut dihitung pemerintah,positive,9.0
tinggal eksekusi lapangan terealisasi gak kalo pengusaha gk yg phk masal semoga si pengusaha legowo ya barengi kenaikan pajak,positive,2.0
bagus kenaikan pajak ppn ditunda dinaikin upah minimumnya,negative,-7.0
true bgt gw tik tok kritisi kenaikan pajak eh suruh pindah negara pdhl pajak dr bidang ya hasilnya bt memakmurkan pejabat eh yg belain pejabat gk pd sadar jg,negative,-13.0
ppn dibanderol persen persen kenaikan pajak ppn persen implementasi undangundang nomor harmonisasi peraturan perpajakan lu,positive,2.0
kenaikan tarif pajak pertambahan nilai ppn persen persen januari berpotensi memukul kinerja industri asuransi jiwa,positive,6.0
kenaikan gaji pajak kalo ngeluh dibilangnya bersyukur aja bagus gaji gak gaslighting terossss,negative,-3.0
anti pajak anti kenaikan gaji guru anti bpjs anti subsidi anti pemerataan anti infrastruktur anti undang undang pro org kaya pro kapitalis pro propaganda bohongin org miskin bodo ngilangin biaya hidup,negative,-22.0
akal tdk ktk hrs melawan kelaparan kenaikan pajak pembatasan subsidi memiskinkan rakyat bs kendalikan,negative,-3.0
istana wapres rakyat taukenaikan pajak yg lu bayar bermanfaat utk pencitraan menyala pajak ku,negative,-1.0
dear presiden pemerintah egois menyengsarakan rakyatnya tidak berpikir efek domino kenaikan pajak absurd impor ilegal yg diberantas sungguh pemerintah tidak bijak,negative,-7.0
menteri gak habisnya bikin sensasi pajak aja udh terbayang kenaikan barang ditambah pelaku ekonomi ditekan dgn pembatasan pertaliterakyat menderita berbanding terbalik dgn pejabat dgn fasilitas mobil milyaran,negative,-16.0
takada rakyat senang kenaikan pajak pajak dipakai kepentingan politik praktis bani mulyono laknat gaungkan tolakppnpersen,negative,-2.0
menteri airlangga hartarto pembahasan terkait rencana penundaan kenaikan pajak,negative,-7.0
kenaikan pajak rakyat utk maenan wapres fufufafa,negative,-3.0
yaudah sih kontol org yg gk milih prabowo aja ttp kena kenaikan pajak anjg aarrghhhh,negative,-20.0
ambil sembakonya pilih orangnya lumayan mumpung harga sembako menjelang natalkenaikan pajak,negative,-6.0
jujur gue setuju kenaikan pajak gaji guruguru asn amp nonasn makan makanan bergizi anak anak sekolah gak rugi gue kak gem menang pemimpin penderitaan tanggung,negative,-12.0
pks konsisten anti kenaikan pajak partai pro kapitalisme pasar bebas,negative,-9.0
mukanya srimul ngeselin bgt stress stress dah lu ngurusin ppn awas ya lu jadiin kenaikan gaji guru alasan naikin pajak rakyat watching you,negative,-11.0
berasa sultan andara cok isi token listrik kepotong nya ga ngotak dampakn kenaikan pajak yakkkk gilak sihhh gitu kabarrrrr masyarkat menegah kebawah,negative,-17.0
kaya diampuni menengah dimiskinkan kabar tidak negeri isu kenaikan tarif pajak pertambahan nilai ppn persen persen nailul huda ekonom celios,negative,-4.0
tar ngumumin kenaikan pajak pertambahan nilai pengen tau nangis ketawa,negative,-2.0
ppn hrs kenaikan nya gaji suami ga menikmati pdhl kenaikan pajak mendanai program kenaikan gaji guru salah program prabowo yg pakai duit apbn duit pribadi prabowo or kaum doang,negative,-7.0
aneh presiden prabowo diem aja pembantunya srimuyono eh sri mulyani seenak dengkulnya mencekek rakyat dgn kenaikan pajak,negative,-4.0
semoga kenaikan gaji guru tidak menambah beban masyarakat kenaikan kenaikan pajak yg menambah berat penghidupan masyarakat,negative,-2.0
waduuh waduuuh merasakan kenaikan pajak nih teman setia gimana ya bertahan kalo usaha gitu yuk dishare teman setia lupa request lagu cover favorit audiostream,negative,-3.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan pemerintah berencana memundurkan kenaikan tarif pajak pertambahan nilai ppn persen diterapkan januari ya diundur luhut jakarta,positive,5.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan rencana kenaikan tarif pajak pertambahan nilai ppn persen ditunda selengkapnya ppnpersen pajak luhutbinsarpadjaitan tarifppn,negative,-3.0
kenaikan tarif pajak pertambahan nilai ppn dikhawatirkan menurunkan daya beli masyarakat kelas menengah,negative,-7.0
knp nder emng klo pake gusy ga menyebabkan kenaikan pajak inflasi merubah tatanan negara,negative,-3.0
keberpihakan agenda pemiskinan pajak dinaikkan upah koq ga ikutan ya bikin tax amnesty plus nya kenaikan pajak utk menambah penerimaan negara pembiayaan kewajiban utang ln minus nya rakyat menengah kebawah miskin kemana pemerintah berpihak,negative,-10.0
jakarta cnbc indonesia kabar melegakan ketua dewan ekonomi nasional den luhut binsar panjaitan presiden prabowo subianto menunda kenaikan tarif pajak pertambahan nilai ppn,positive,1.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan rencana kenaikan tarif pajak pertambahan nilai ppn dijadwalkan januari berpotensi diundur,negative,-3.0
jakarta cnbc indonesia kabar melegakan ketua dewan ekonomi nasional den luhut binsar panjaitan presiden prabowo subianto menunda kenaikan tarif pajak pertambahan nilai ppn,positive,1.0
rakyat menolak kenaikan ppn naikan pajak konglomerat politisi yg ketjanya menghabiskan duit pajak rakyat,negative,-14.0
penguasa utk kepentingan rakyat bacot basi berdiri kepentingan bisnis memakmurkan bisnis keluarga kroni mafianya smntara rakyat menikmati kenaikan pajak harga dgn alasan kebaikan bangsa bangsat tuh,positive,8.0
dpr mengaku menunggu kebijakan pemerintah terkait kepastian kenaikan tarif pajak pertambahan nilai ppn persen seyogianya berlaku januari dpr ppn ppnpersen,positive,1.0
bilangnya gini om akhi ukhti berkenankah demo anti kenaikan pajak barokallahu fiikum,negative,-8.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan pemerintah bantuan sosial bansos masyarakat kelas menengah menerapkan kebijakan kenaikan tarif pajak pertambahan nilai ppn persen smartnews,positive,5.0
pengusaha sambut rencana pemerintah tunda kenaikan ppn ketua asosiasi pengusaha indonesia apindo shinta kamdani mengapresiasi kabar penundaan kenaikan ppn jakarta polemik rencana pemerintah menaikkan tarif pajak trenasia,negative,-3.0
berita kenaikan pajak pertambahan nilai ppn persen berita hangat dibicarakan kenaikanppn ppnpersen dampakkenaikanppn lpemui ekonomiindonesia,negative,-3.0
bayangin aja gen ambisi upgrade skill harapan saving kenaikan income hasilnya dinikmatin negara jenis pajak amp program² potensial korupsi potongan gaji yg blm dinikmati,negative,-4.0
takut investor pd kabur negara lbh ngurus org² ketimbang berpihak pd rakyat bodoh rakyat berdemo menuntut kenaikan upah kerja pajak bbm subsidi tarif listrik negara sdh kebanyakan makan uang haram dr oligarki yg usahanya,negative,-9.0
pendukung rezim klo bahas kenaikan pajak counternya gaji pns instansi bobrok doang dibilang ga ngotot astaga,negative,-10.0
nggak manfaat rakyat kenaikan pajak akal akalan biar nggak membebani hutang yg nggak menguntung utk rakyat jokowi yg party swmua yg kena getahnya,negative,-14.0
ditjen pajak tugasnya menagih pajak uang pajak terkumpul utk wewenang ditjen pajak janji kenaikan pajak bermanfaat utk rakyat kantong rakyat dikuras bermanfaat lucu,negative,-4.0
kenaikan umr upaya intervensi pmerintah utk mndapatkan keuntungan politis pdhl gaji pajak yg naek ya komponen harga produkjasa yg otomatis naek kejaran inflasinya yg krn peningkatan nilai aktivitas ekonomi,positive,13.0
bbrp smpet ditanyain temen ga niat jerman ausbildung klo pikir pikir iya jg ya jdi kangen jerman kenaikan pajak iya tp gaji umr tetep stuck gemink hadeuh,negative,-1.0
abis narasi sedih pengurangan karyawan ditempat kerja penipuan susahnya lowongan kerja kriminal oknumoknum kenaikan pajak masyarakat kaya kaya miskin kasian,negative,-17.0
kasih hadiah kenaikan pajak prabowo selamat cari duit bayar pajak,negative,-4.0
paket ikn kenaikan pajak disahkan diera jkwi mestinya paham arti berkesinambungan made in jokwi prabowo amp partner,positive,2.0
kalimat spertinya ga setuju terkait umk kenaikan pajak,negative,-8.0
hapustidak sanggup mensejahterakan rakyat ya dipalakin dgn kenaikan pajak,positive,3.0
nih lg ribut kyk kenaikan ppn trus twit² ttg pajak yg emg bidang kerjaan trus reaksi netijen ya ngatain buzzer wkwkwk,negative,-3.0
kenaikan pajak taun beli poin karyakarsa,negative,-7.0
kebijakan pemerintah terkait kenaikan tarif pajak pertambahan nilai ppn dinilai mempengaruhi kekuatan daya beli masyarakat,positive,4.0
stop naikin berita artis disaat rakyat fokus naikin berita pembunuhan aparat rakyat sipil kenaikan pajak,negative,-11.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan pemerintah berencana memundurkan kenaikan tarif pajak pertambahan nilai ppn persen diterapkan januari,positive,1.0
ketua dewan ekonomi nasional den luhut binsar pandjaitan menyebut pemerintah berencana memundurkan kenaikan tarif pajak pertambahan nilai ppn persen diterapkan januari ya diundur luhut jakarta,positive,8.0
kenaikan pajak diimbangi kenaikan umpumr sih kalo engga ya kesenjangan sosial terpuruk yg miskin miskin yg kalangan menengah pnsasn gaji pokok tergolong lingkaran zona miskin,negative,-21.0
tolong dikaji ulang kenaikan pajak kenaikan satunya solusi,positive,1.0
ketua dewan ekonomi nasional luhut binsar pandjaitan kenaikan pajak pertambahan nilai ppn ditunda jadwal penerapan januari simak selengkapnya,negative,-2.0
salah ciri negara kebangkrutan menambah beban kenaikan pajak rakyatnya,negative,-9.0
yg merasakan kenaikan pajak ya pejabat rakyat melarat banter bansos,negative,-6.0
pemerintah mengundur penerapan kenaikan pajak pertambahan nilai ppn persen diungkap ketua dewan ekonomi nasional luhut binsar pandjaitan kenaikan ppn diundur luhut rabu,positive,1.0
ketua dewan ekonomi nasional den luhut binsar panjaitan presiden prabowo subianto menunda kenaikan tarif pajak pertambahan nilai ppn persen januari idntimesbusiness,positive,4.0
emang udah spill kenaikan pajak inii,negative,-3.0
seiring kenaikan ppn ortunya gaji jt pajakin uang hasil pajak biayai siswa sehariartiny dana pemerintah yg terpakai masuk kantong pejabat kah su dahlah,negative,-1.0
semangat presiden selamat sowan solo ya gak gunanya tolong kenaikan ppn tunda dah ampe rakyat makmur sejahtera kehidupan nya mentri yg gk inovasi sumber naikin pajak rakyat ganti aja mumpung blm,positive,20.0
menaikan ppn kenaikan pajak tim ekonomi pemerintah tidak kreative menggali sumber pendapatan pembiayaan didalam negeri diluar pajak investasi ln,negative,-16.0
gaada wacana demo tolak kenaikan pajak kah dpn udah ga menjamin sampe gada kenaikan ga sampe pertengahan tar tau udah aja bertahan hidup dgn resiko gaji sebulan dipotong pajak segede aja kah,negative,-28.0
gebrakan sumber apbn terbesar non pajak dibandingkan memikirkan angka kenaikan pajak yg,negative,-9.0
ngutang ugalx an rakyat bayar kenaikan pajak helo,negative,-5.0
kenaikan pajak maksudnya dirasakan masyarakat keluarga pejabat dpr dprd,negative,-6.0
konfirmasi den hak menunda memundurkan kenaikan pajak persen kah hak presiden menkeu,positive,5.0
gws deh kenaikan pajak,negative,-1.0
ga nyalahin bi ga terobsesi dgn nilai rupiah yg kuat yg jd kenaikan pajak bi rate yg berpengaruh thd nilai tukar rp vs dollar,positive,1.0
makan siang orang tua pusing tujuh keliling kenaikan pajak,negative,-11.0
kenaikan ppn memicu kenaikan harga sayangnya menteri keuangan pandai meningkatkan pendapatan negara pajak rakyat pinjaman sektor nol pandai berdalih,negative,-10.0
rencana kenaikan pajak sdh berdasarkan uu hpp thn skg menunggu keputusan presiden semoga apapun keputusannya tdk membebankan rakyat,negative,-5.0
ptkp blm tarif pph wp pribadi blm turun tarifnya fleksibel bgt kalo kenaikan cashflow pembebasan pajak umkm blm ppn industri buku blm dihapus tarif ppn gegara uu hpp,negative,-8.0
kenaikan pajak diajukan kalo gak salah disahkan oesidennya pajak persen,negative,-8.0
giliran kenaikan pajak dikerjain cepetcepet banget kayak buruburu nyari duit tau ruu perampasan aset diam aja gak disahin kayak tertidur pulas bertahuntahun sungguh sialan keadaannya woe beneran kalo,negative,-8.0
dilan dilanda kenaikan pajak,negative,-3.0
gji guru negeri dr apbd mgkn kenaikan persen pajak naikin gaji guru,positive,5.0
kenaikan gaji guru honorer asn berbgai harga barang meroket pajak terusrakyat non guru non asn nasibnya terbebani kebijakan tebar pesona pencitraanmu broo,positive,12.0
harga tiket ngadi ngadi ditambah kenaikan pajak dah,negative,-3.0
kenaikan gaji tunjangan pegawai pajak kemenkeu tidak menghapus mengurangi perilaku greedy tolakkenaikanppnpersen,negative,-10.0
mari baca yg artikelnya bilang ppn pajak yg dibebankan yg bayar yg dibebankan konsumen kenaikan yg dialami ya maaf,positive,3.0
kenaikan pajak uu coba cek partai yg setuju dg uu tsb,negative,-5.0
kenaikan pajak khusus kaum ok gas aja,negative,-2.0
tidak setuju kenaikan ppn tp minimal tau pajak dikitlah yg dipotong pemerintah pph gajitarifnya progresif ppn tdk potong kenaikan tarif dr klo beli barang bkp,negative,-17.0
dibiayai pajak rakyat dikenakan kenaikan ppn,negative,-3.0
harga tiket konser ilichil banget gak yaa ppn ya pajak hiburan gak ikutan pajak barang produksi kena imbas kenaikan ppn,negative,-4.0
kenaikan pajak persetujuan wowo,negative,-3.0
tolak kenaikan pajak tolakkenaikanppn tolakkenaikanppnpersen,negative,-7.0
frrr gue posting kenaikan pajak ig aja dikatain anak abah anj trs yg reply story gue berisik bgt,negative,-3.0
wkwkwk selamat menikmati kenaikan pajak memperkaya orang yg kaya plus membantu memiskinkan rakyat selamat memenangkan perusak konstitusi licik sejarah,positive,9.0
mengutuk frontal asunya kenaikan pajak ga ngotak idup aja dipersulit orangorang dzalim ya allah,positive,2.0
tolong batalkan kenaikan pajak pecat sri mulyani menteri jahanam dah aja makasih,negative,-10.0
sebelah dapet animate dapet kenaikan pajak,negative,-3.0
tergantung sudut pandangnya yg disampein video tujuannya menolak kenaikan pajak setuju cuman beda sudut pandang kyk naiknya banget,negative,-3.0
ppn dinaikkan tidak produksi distributor retail tidak menaikkan harga karna kena kenaikan pajak,negative,-13.0
indonesia sdh jatuh krisis utangan yg dibebankan kpd rakyat dgn kenaikan pajak cicilan hutang negara,negative,-14.0
barang jasa terdampak kenaikan pajak pertambahan nilai ppn ya inibaruid,positive,10.0
kenaikan tarif pajak pertambahan nilai ppn persen diberlakukan pemerintah januari menuai sorotan tarif ppn indonesia salah tertinggi dibandingkan negaranegara asean tempodotco,positive,3.0
pemerintah leha nikmatin harta mata tau kalo masyarakat yg kesusahan tercekik isu kenaikan pajak yaallah,negative,-15.0
daya beli masyarakat terjaga menyambut kenaikan tarif ppn kawanpajak with the issuance of pmk no of the government provides corporate income tax reduction facilities for businesses making new investments,positive,1.0
gk mulyono pajak kenaikan barang dipajak tax amnesty konglomerat pajak rakyat pemerintah sialan,negative,-11.0
efek kenaikan gak segampang bilang barang jasa kena pajak efek supply chain gak segampang yg researcher bilang nol koma sekian basis point gak,positive,1.0
orang nyalahin smi naikin pajak dpr kontol uu dibatalkan kenaikan pajak tsb peraturan pemerintah yg pelaksana uu tsb but yg berwenang melegislasi pp presiden which mean wewenang si bowo,negative,-10.0
mogok kenaikan gaji dgn pajak pastinya barang barang pajak karyawan keseluruh sektor kecuali bahan pokok menandakan gaji tidak layak,negative,-18.0
cb yg dikenakan kenaikan pajak tu yg berasgula telur tu sdh dinaikan lg pajaknya gaji ga tp pajak dinaikanterlalu bnr pemerintah ni,negative,-6.0
oksigen bang gue ketawaketawa aja beneran hitungannya ngelihat pola pikir kenaikan pajak ga masuk akal gak menutup oksigen gak masuk akal dipajakin dipajakin,negative,-6.0
reksadana promo kenaikan stabil ga kena pajak kayak sukuk jatuhnya jual gampang,negative,-1.0
akuuu mauuu marahhh terusss liat tp gmn iniii biaarrr bisaa batal sblm udh frugal belanja yg lokal aja hrs lagiiiii biar cancel kenaikan pajak ya allahhhhh,negative,-5.0
ga ga aneh aneh ngeup berita gosip base kehidupan ga urusannya lu tujuan ngeup nutup polisi nembak siswa or even kenaikan pajak,negative,-9.0
ditjen pajak tegaskan kenaikan tarif ppn masyarakat,negative,-3.0
perbedaan tujuan kenaikan ppn indonesia dibandingkan negara kuatbaca kuatbacacom ppn pajak kemenkeu keuangan apbn ekonomi,negative,-5.0
komisi informasi pusat kip menilai pemerintah transparan sosialisasi kenaikan pajak pertambahan nilai ppn persen,positive,8.0
si oneng cuci tangan tuhpadahal yg mensahkan uu kenaikan pajak tsb dpr,negative,-2.0
kenaikan tarif pajak pertambahan nilai ppn persen persen januari respons,positive,9.0
let say nggak peduli kenaikan pajak orangorang nggak paham naiknya pajak aja pengaruh kehidupan,negative,-4.0
nih mahasiswa gerak utk protes kenaikan pajak memberatkan rakyat,negative,-6.0
dasarnya tren pendapatan pajak bagus opsi dipakai pemerintah menghitung tren pembayaran pajak kenaikan cukai rokok memperhitungkan dasarnya pemerintah hobi pakai solusi jangka pendek,negative,-13.0
harga property seiring kenaikan pajak persen news,positive,2.0
yg nambah hutang eh rakjel yg kena dampak kenaikan pajak kerjaannya orang cerdas kesayangan tokoh nasional negeri amp mancanegara kalo gak nambah hutang ya naikin pajak,negative,-18.0
ppn calon pembayar pajak meninggal dunia tertembak peluru dibeli uang pajak menyoal kenaikan anggaran polri fantastis,negative,-14.0
oh iyes wowo disetir wiwi kenaikan pajak disahkan dpr zaman firaun solo gak salah program pemiskinan pembodohan era mulyono terstruktur sistematis masif tumbangkanridwankamil tumbangkanridwankamil,negative,-9.0
badai perlahan defisit anggaran hutang jatuh tempo menggunung kenaikan pajak mengancam turunnya daya beli korupsi merajalela oligarki politisi memikirkan ambisi pribadi nanya dibawa kemana negara,negative,-32.0
pemerintah berencana menaikkan pajak pertambahan nilai ppn persen harga barang kenaikan pajak tidak ditolak masyarakat pengusaha,negative,-5.0
min tunjangan pejabat dpr menteri aja yg potongjd rakyat kenakan kenaikan pajak lgudah dagangan lesu aja min,negative,-11.0
janji prabowo kenaikan pajak presiden bohong ppn kaya diampuni yg mdngsh fimidkinkan pabrik cina sulawesi bebas pajak,negative,-12.0
buka igstory karyawan nolak kenaikan ppn next slide karyawan pajak liburan ln,positive,4.0
sri mulyani challenge tolak tim tajir mengurangi utang naikan ppn tiket amp transfer pemain wonderkid wajib kena pajak future sell pemain wajib kena potongan gaji tapera bpjs omnimbus law turunkan gaji staff honorer tunda kenaikan lisensi coach,negative,-31.0
kenaikan pajak tuh anjing bgt ga si kalangan menengah,negative,-7.0
asliii kagak ngehirup udara pke pajak udh dititik kesel dinaikin penghasilan ttep segtu aja kaga kenaikan trus aja kuras masyarakat mu ituuu nntikan balasan diakhirat wkwkw,negative,-10.0
kenaikan pajak kontradiksi target pertumbuhan ekonomi pajak variable harga berdampak daya beli disisi pertumbuhan ekonomi indo ditopang konsumsi masyarakat pajak pertumbuhan ekonomi bertolak,negative,-15.0
indonesia kaya sda hasilnya indonesia merdeka topeng rakyat menghadapi penjajah menghadapi kenaikan pajak takut tolakppnpersen,negative,-6.0
kenaikan ppn survei pendapatan rakyat sih gila pendapatannya dikit pajak dipukul korea aja harga barang kebutuhan pokok dihitung berdasarkan gaji rakyat nangis,negative,-11.0
gini mbakku bilang ga terpengaruh kenaikan pajak pdhal dodolan bahan pokok,negative,-12.0
bikin regulasi ya payung hukum yg terdmpk jatuh miskin yg beralih propesi pencuri jatuh miskin akibat kenaikan pajak,negative,-18.0
oleholeh hasil lawatan negeri membawa surat cinta cawecawe pilkada kirain gebrakan² yg ditunggu² masyarakat penundaan kenaikan pajak resuffle kabinet kenaikan gaji guru yg jtbulan,positive,2.0
serius ga demo tolak kenaikan pajak gue capek bgt liat berita ttg ppn anjg voters sialan keberlanjutan sialan gua tuntut akhirat lu satttttttttttttt,negative,-39.0
kaya duluan merasakan dampak positif kenaikan pajak ya yg memungut pajak gaji insentifnya berlipat,negative,-6.0
udah keliatan harga barang rb pajak kenaikan kenaikan pajak tp daya beli masyarakat kena dampak ngga,negative,-11.0
gambaran kasar krn pajak dr yg pandit tulis diatas udah bener krn value ga mewakili domino effect dr penambahan tsb contoh ilangin nya pajak pajak kenaikan iya dr pajak tp ga mewakili daya beli,negative,-15.0
viral logo garuda berlatar biru bergema suarakan tolak kenaikan ppn persen vivacoid pajak ppn srimulyani,negative,-8.0
orang tolol yg bilang kenaikan pajak gak ngaruh barang sehari,negative,-8.0
terkait kenaikan ppn persen komisi informasi pemerintah transparan pajak,positive,1.0
hadeuhhhh bikin polemik sri mulyani dinilai pelit informasi maksud tujuan kenaikan ppn komisi informasi pusat kip menyoroti kementerian keuangan kemenkeu detail terkait kenaikan pajak pertambahan nilai ppn,positive,9.0
saudara menyamakan negara perusahaan brother setuju negara berbisnis rakyat saudara tidak susah kenaikan pajak ppn dll,negative,-10.0
wacana kenaikan tarif ppn respon hangat positif kesadaran pajak pajak pilar penyangga eksistensi negara berbagi konteks yg luas mendudukkan wacana jernih utas,positive,5.0
kenaikan ppn gk pajak tp jg bnyk subsidi,negative,-3.0
akun tiktok aadk edisi senin november mengulas kenaikan ppn target penerimaan pajak bisabisa tidak tercapai akibat kenaikan ppn menekan konsumsi domestik adadikompas,negative,-10.0
siapsiap aja gaes rencana kenaikan tarif ppn januari berdampak aspek nih operator seluler gtgt internet ppn ppnpersen pajak,negative,-7.0
kenaikan pajak utk yg unfaedah contohnya,negative,-3.0
rakyat memohon kenaikan pajak dibatalkan rakyat menengah menderita,negative,-8.0
rakyat memohon kenaikan pajak dibatalkan rakyat menengah menderita,negative,-8.0
setoran pajak dibilang seret diharapkan ket dr menkeu dipahami berbulan deflasi phk dimana ditahun ditambah kenaikan ppn waras bu menkeu tolakppnpersen pajakmencekik,negative,-4.0
buruh ancam mogok nasional tolak kenaikan tarif pajak pertambahan nilai ppn persen,negative,-9.0
kenaikan tarif ppn ppn pajak penambahan nilai salah pajak wajib bayarkan transaksi jual beli objek bkp barang kena pajak jasa kena pajak jkp pajak pertambahan nilai ppn resmi,negative,-5.0
pengusaha hiburan senggigi rencana kenaikan pajak persen ditinjau ulang,negative,-3.0
kenaikan pajak kyk cafe makan gitu kah,negative,-3.0
freelancer ngeh ga ya efek kenaikan pajak harga jasa turun nih taun persaingan permintaan menurun trus perang harga ramai,negative,-1.0
percaya jubir kementrian rakyat merasakan nikmatnya kenaikan pajak orang miskin,negative,-6.0
pengusaha hiburan senggigi rencana kenaikan pajak persen ditinjau ulang via,negative,-3.0
masyarakatpejabat mereja pejabat bangsat yg menikmati kenaikan pajak amplop bulanan nya tebal rakyat yg minum teh manis sehati tinggal sarapan telor ceplok terpaksa,negative,-16.0
ga setuju kenaikan pajak logika matematikanya ga gitu selisih rp dibagi rp rp harga barang pajak dapatnya barang beda yg dibandingkan harga pajaknya,negative,-5.0
kenaikan ppn rakyat pajak ppn apbn,negative,-3.0
pemerintah merencanakan kenaikan ppn dampak yg rasakan pajak ppn apbn,negative,-3.0
haram memalak rakyat aneka pajak buletin kaffah edisi jumada alula november keputusan pemerintah utk memberlakukan kenaikan pajak pertambahan nilai ppn januari trs menuai kritik dlm kondisi ekonomi yg msh berat,negative,-6.0
ppn persen netizen singgung janji prabowo kenaikan pajak presiden,negative,-2.0
tax yok kenaikan pajak menyentuh industri ekstraktif,negative,-3.0
bener shell tutup gara kenaikan pajak menteri sri mulyono eh mulyani,negative,-7.0
hidup sdh susah diperas dg kenaikan pajak tertawa menertawakan yg berhati,negative,-3.0
pulang mulyani siap² panggil diperintahkan prabowo utk batalkan kenaikan pajak enak aja palakin rakyat dgn pajak pake alasan pajaknya kembalikan dlm bentuk bansos bansos alasan tolakppnpersen,negative,-1.0
yg persen hitungnya bang sebenernya kenaikan harga barang penerimaan pajak ppn,positive,2.0
dampak ppn kenaikan sisi pajak smtr efek bola saljunya kenaikan pengeluaran sd kenaikan gaji kl dipatok sd nombok,negative,-6.0
percaya manfaatnya rasakan masyarakat yg pejabat masyarakat merasakan beban hidup yg berat akibat kenaikan harga imbas dr kenaikan pajak,negative,-11.0
gk sih voters bayar pajak trus yg gk ngevote fufufafa bayar pajak yaa kek kenaikan gk dapet makan gratis jg gpp bekal ponakan gw bergizi amp sehat makan gratis asal²an lo ndut,positive,2.0
basis kenaikan pajak ppn imbas langsung belanja pemerintah lupakan distribusi keadilan gak nyambung,negative,-1.0
